,Comment,Label
139,здравствуйте скажите пожалуйста собеседование начнётся одновременно для всех в или можно приехать зарегистрироваться потом уехать по неотложным делам и подъехать на собеседование в,neautral
140,собеседование начнётся в но раз уж важные дела то приезжайте после них,neautral
141,клш хорошо спасибо,positive
142,а что вообще из себя представляет собеседование,negative
143,школьники расходятся по направлениям получают несколько задач решают их после чего обсуждают свои решения с сотрудниками клш или с теми кто помогает проводить собеседование в принципе оценивается не столько сам ответ сколько то как школьник к нему пришёл примерно так,negative
144,здраствуйте а для тех кто обитает в москве где можно пройти собеседование просто насколько я помню в прошлом году оно было,neautral
145,у нас про это отдельный пост от февраля,neautral
146,спасибо я просто немного слепая👀,positive
147,подскажите пожалуйста будет ли добор какойнибудь мы поздно узнали о вас,negative
148,елена к сожалению в этом году отборочные мероприятия закончились ждём в следующем году,neautral
149,клш 😢,neautral
150,у инфузорий нет полов только типы спаривания различия в том что пол определяется на хромосомном уровне а типы спаривания на уровне отдельных генов,neautral
151,ещё немного фактов про личную жизнь инфузорий некоторые типы спаривания характерны тем что при спаривании убивают своего партнёра этакие одноклеточные маньяки,positive
152,артём да разница безусловно есть всё же они одноклеточные но тем не менее в литературе это исторически тоже называют полом хотя с точки зрения термина и есть вопросы спасибо за пояснение,neautral
153,ботать физику под дубинушку👌👍 ашнюрики из города долгопрудный ставят лайк,neautral
154,прекрасная заставка,positive
155,будем откровенны исходно это была заставка для ботстола по машинному обучению,neautral
156,ах какая же прелесть и сотрудники чудесные и школьники удивительные😍,positive
157,вот жиза всё ради баллаоао ыаы,neautral
158,витя ты ли это,neautral
159,а ведь похож,neautral
160,лучшая рубрика на свете,positive
161,есть вопрос к можно ли вернуться в летнюю школу школьником если свой аттестат ты давно получил,neautral
162,дарья на счёт летней школы не знаю но письмо из хогвартса жду до сих пор,negative
163,ира вообще крутая,positive
164,в гарри поттере всё повзрослому⚡,positive
165,а почему вместо сна 🤔 может вместо прокрастинации принять нужное лекарство и вперёд,negative
166,а вот о лекарствах речь пойдёт в ближайший четверг,neautral
167,почему так мало прокрастинации,neautral
168,не реалистично,neautral
169,реалистичность — это объективно не наш конёк,negative
170,а подтверждение о приеме задание не отправляется,neautral
171,отправляется,neautral
172,извините но моя прокрастинация долша до того что я отправил в моя работу будут рассматривать😔,positive
173,тимур не переживай всю ночь и утро мы принимаем вступ задания,negative
174,должен всётаки заметить что серфить в темноте — не полностью безопасно а с планктоном — ещё и не всегда комфортно потому что он кусачий,negative
175,надеюсь порося не попали в руки артёму,neautral
176,очень круто,positive
177,вааау,neautral
178,лучшее поздравление,neautral
179,но если попросите игры с экономикой тоже принесу,neautral
180,я очень люблю когда ты играешь с экономикой,positive
181,а кому можно приходит как стать участником программы,neautral
182,юлия на ботстол обычно приходят школьники классов но мы ждём всех кто хочет,neautral
183,елизавета спасибо,positive
184,а ещё очень рекомендуем всем кто хочет активно решать химию взять свой калькулятор,positive
185,победителей в студию,neautral
186,у победителей последние приготовления,positive
187,а где посмотреть результаты,negative
188,соня ты можешь написать нам сообщение — и мы пришлём тебе твои результаты,neautral
189,здорово когда большая часть команды возвращается в летнюю школу а тем более через два года маленькая сигма ❤ спасибо ане за память,neautral
190,спасибо в комментариях пишите любые вопросы по теме готова ответить с большим удовольствием,positive
191,так это тебе спасибо а не комуто — нашу бдительность не усыпить,neautral
192,подводка хороша,positive
193,нам очень приятна такая оценка в особенности от сооснователя дуэта «сообразим на троих»,neautral
194,школьник тебе сюда,neautral
195,готов решить задач за ссылку на такие стикеры,neautral
196,никита,neautral
197,немного ору в голос и бегаю по потолку,positive
198,это прекрасно,positive
199,никита какие задачи надо решать и кому присылать решение,neautral
200,эт про меня пора бы поботать но чот хальп,neautral
201,первая фраза бесценна пост тоже хорош,neautral
202,просто вау мне кажется очень подходящий формат рассказывать историю клш,neautral
203,наконецто,neautral
204,что кто идёт,negative
205,а где это происходит,negative
206,что с собой брать,neautral
207,анастасия борисова написано же,neautral
208,эдик ой спасибо,positive
209,вот куда ярослава пропадает каждое лето,neautral
210,эдик только ручку и тетрадь,neautral
211,где можно взять ответы на задания которые были на бот столе инфа,neautral
212,расписание – регистрация участников – кнт – подведение итогов – награждение,neautral
213,пункт,negative
214,анжелика суть этого пункта известна одному хармсу нам остаётся только довериться архивным документам в которых так и было написано,neautral
215,благодарю за ответ,positive
216,супер как интересно,positive
217,хорошая статья и главное верная по сути,positive
218,а когда будет тема от амфоры до анафемы позовете,neautral
219,где моё общество,negative
220,полина пока можем предложить только общество людей толковых но нон знает о твоём запросе,neautral
221,сложно сказать вова сложно мы сосредоточены на нен и ненн,neautral
222,мне нужна работа над собой буду ждать,neautral
223,а расскажите пожалуйста историю возникновения выражения ботстол,neautral
224,сначала о важном мы склоняемся к тому что по канону должно быть «ботстол» а не «ботстол» по сути же вопроса вероятно чтото может сказать с в ламзин,negative
225,клш спасибо 😊,positive
226,скажите пожалуйста а зондеров на ботстол пускают,neautral
227,михаил конечно ждём всех,neautral
228,почему кёрлинг,negative
229,стёпа спасибо за твой вопрос отдел иллюстраций просил передать что при работе над этим постом вдохновлялся стильными историями в летнешкольном инстаграме,positive
230,можно ли до класса,positive
231,можно попытаться на общих основаниях скидку на возраст мы делать не будем,neautral
232,клш спасибо то есть если на общих основаниях ребёнок пройдёт то вы возьмёте отказа изза возраста не будет,neautral
233,возьмём не будет,neautral
234,мне всё очень понравилось до момента когда ближе к концу пошли бонустреки с альбома,positive
235,жиза 😂,neautral
236,простая ночь где школьники учатся дополнительно,neautral
237,😂,neautral
238,😅😂,neautral
239,вы б так простыни текста лайкали которые я для вас пишу как мемосики лайкаете,neautral
240,антон так мы лайкаем,negative
241,вопрос ире почему именно детский патанотом,negative
242,хочу вспомнить дроби и другую фигню которая пишется на доске но очень нужна в современном мире для аналитики всяких данных куда идти вова годика,positive
243,владимир повидимому вам в ньюйорк,positive
244,ну правда это не шутки какой учебник алгебры чтобы полезно и не сложно и с понятным разбором решений а в нй уже все занято,neautral
245,ну правда это не шутки какой учебник алгебры чтобы полезно и не сложно и с понятным разбором решений а в нй уже все занято,neautral
246,а что это такое вообще,negative
247,в тред приглашаются коллеги сергей ламзин аля прилепова вика луковская и артём благодатский на всякий случай,neautral
248,ботстол ну это как шиномонтаж только по математике,neautral
249,серега что почитать,neautral
250,владимир,neautral
251,сколько людей может прийти нужно както регистрироваться кроме этого голосования,neautral
252,ангелина могут прийти все предварительно не нужно регистрироваться,neautral
253,реквестую очередной математический стол,neautral
254,хочу в следующий раз физику,positive
255,с радостью приеду,neautral
256,к слову об эффектности демонстраций 😃,neautral
257,товарищи из нон сделайте ботстол по общаге пожаааалуйста,neautral
258,плюсую,neautral
259,полина согласна,neautral
260,полина согласен,neautral
261,полина взяли под карандашик,positive
262,алена ждёёём,neautral
263,для нен тоже было бы классно при необходимости с помещением могу помочь,positive
264,эдинбургский аксолотль,neautral
265,рустам ееее,neautral
266,а у меня такие дома живут парочка,neautral
267,ира ооо можно фотографию,neautral
268,ксюша,neautral
269,ира красавец,neautral
270,ксюша,neautral
271,мой любимый хэштег обожаю,positive
272,ураааа,neautral
273,заслуженно заслуженно 😄,neautral
274,аааа как круууто спасибо,positive
275,атланты клш,neautral
276,я считаю спр таких шлангов ещё поискать надо,positive
277,даниил не ну это бан,neautral
278,годнооо,neautral
279,мы будем пристально следить за развитием ситуации в случае чего — поручим комунибудь взять её на особый контроль,neautral
280,клш приезжайте зондерами это весело,negative
281,сергей,neautral
282,лингвистика 💚,neautral
283,коосинус,neautral
284,всё верно он,positive
285,жуть,neautral
286,о моя рука,negative
287,а вот тут яша сам подробно рассказывает про особенности такого питомца,neautral
288,неповторимая атмосфера биохима сушёные корешки и жучки утопленные в эфире,neautral
289,помнится решил сжечь семь кило дихромата аммония кроме станлартной проблемы типаоксид везде различил слабый запах аммиака учитывая тот факт что аммиак замечательно каталитически сгорает на раскаленнном оксиде хрома пришел к выводу что какаято часть дихромата разлагается на аммиак кислород воду оксид а уже потом аммиак каталитически сгорает хотя быть может реактив был грязный воспроизводить не стал очень уж грязно с кило чем это может быть интересно например тем что есть целый ряд сравнительно низкотемпературных реакций где аммиак может быть полезен,negative
290,пробежка по лесу в вечера для сбора гербария,neautral
291,господи это шикарно я только забыл эти песни а тут опять,neautral
292,достойно награды за лучший мем,positive
293,оао ыаы,neautral
294,отлично я считаю👍🏻👍🏻👍🏻,positive
295,летнешкольные письма это ❤❤❤ на своём примере скажу после своего первого сезона начал общаться с теми с кем не смог на сезоне🙂,neautral
296,никита еще и подарки слал 🥄,neautral
297,жертвуем свою потеряшку синее большое махровое полотенце морская тематика с желтыми якорями и корабликами в пользу клш в связи с невозможностью быстро долететь до красноярска,positive
298,я сейчас на самом деле ужасно завидую владу и вам всем тоже советую завидовать,negative
299,влад удачи,neautral
300,какойто мальчик фотку испортил,neautral
301,никита спасибо,positive
302,миша просто ❤,positive
303,медиана клш — адо — крикнул сергей ламзин — о да — ответила ему толпа — о нет — сказал в то же время стоявший позади меня иван адо,neautral
304,оао ыаы в кричалки,neautral
305,оао ыаы,neautral
306,оао ыаы,neautral
307,ода адо адо где борода,negative
308,оао ыаы в массы,neautral
309,альфа хороша для любой иллюстрации парни разумеется тоже хороши,positive
310,если вы ещё не отправили материалы то возможность пока есть но она очень скоро исчезнет,neautral
311,мария какой у вас взгяд🤩😂,negative
312,блин пост команды утро в группе клш ❤ ❤ ❤,neautral
313,даша дааааа😍😍❤,neautral
314,таξ,neautral
315,а мои кроссовки не нашли,neautral
316,ребят если ктото находил в предпоследний и последний день клш электронную книгу — напишите мне,neautral
317,миша когда фоточки,neautral
318,полина у него на странице уже ссылка есть,neautral
319,ксения 😉,neautral
320,если ктото поедет в августе в москву напишите пожалуйста,neautral
321,александра я поеду,neautral
322,александра и я,neautral
323,группа нтн моя любимая,positive
324,💚💚💚,neautral
325,сколько выходило а сколько дошло,negative
326,никита но ведь дошли же,neautral
327,ребят вход возможен только при заходе с телефона,neautral
328,а еще наденьте удобную обувь и возьмите карематики например,positive
329,можете кинуть метку где вы сядете хотя возможно вас можно будет найти и на звук но не хотелось бы рисковать,neautral
330,спасибо солнце♥️,positive
331,😎,neautral
332,это божественно,negative
333,очень крутые спасибо,positive
334,розовая плитка,neautral
335,розовая плитка,neautral
336,доброе утро девочки,neautral
337,оао ыаы,neautral
338,камин где списки,negative
339,парадокс бананататарского,neautral
340,👍👍👍👍👍👍👍👍 дичь,neautral
341,лучи зла и добра,neautral
342,песня про доширак в чемодане и опубликуйте пожалуйста словарь клш,neautral
343,ммм бычий хвост,neautral
344,ты что воробушек на ветке сидеть,neautral
345,аркадий,neautral
346,песня про ботание,neautral
347,пчеловек,neautral
348,хатьфу,neautral
349,люда поешь грязи,neautral
350,о ваау тебе зашла наша песня,neautral
351,ваще огонь🤙🏻🤙🏻🤙🏻,positive
352,рыбка кирилла,neautral
353,полина она ряльно крутая,positive
354,по факту,negative
355,по принципу дирихле двое из вас точно моются в одной кабинке,neautral
356,адовня,neautral
357,расцветааааай коммунистический китааааай,neautral
358,рауф раскидал,neautral
359,долгопрудный готовит новый ким контрольноизмерительный материал,neautral
360,у вани адо не полный алфавит а до я,negative
361,а как иначе,neautral
362,это не ноутбук это аудиокнига,negative
363,где маркеры,negative
364,ммм качалка,neautral
365,ну я могу просто все термины биохакинга перечислить этого будет достаточно,positive
366,есть один мем но он возник уже после сезона,neautral
367,урныы,neautral
368,битва подушками или как устроить ответку ни на что,negative
369,толстая корова лула,positive
370,у вас тиранозавр не просыхает,negative
371,бузова это буза буза это бузить а бузить в клш не интеллегентно,negative
372,намокли ли кроссы,neautral
373,нигде не написано в правилах фмт что нельзя написать ответную задачу на другом языке чтобы выиграть,neautral
374,марьяна почему тут так мало лайков,negative
375,у кого есть фотки со школы — кидайте в гугл яндекс диски а ссылку — в комменты,neautral
376,этот плакат у меня,negative
377,фоток с бх дня нет,neautral
378,верное замечание добавил еще фотографии с дня бх и с медианы,neautral
379,антон спасибо☺,positive
380,кого куда поселили в общажке,neautral
381,чтоб назло всем наветам его отправить в клш,positive
382,а программу забыли,neautral
383,мария прикрепили,neautral
384,что делать если завалишь контрольную на все направления🤣,neautral
385,каждый день каждый час всю жизнь работать над собой,neautral
386,здравствуйте у меня есть вопрос можно ли добраться до лагеря самим если проживаем в гжелезногорске,neautral
387,такой же вопрос проще доехать самим из сосновоборска,neautral
388,здравствуйте нужно приехать в красноярск перед самым отъездом все школьники командами будут проходить медицинский осмотр без него в лагерь не пустят,neautral
389,а как же чайник малярный скотч наручные часы,neautral
390,будущий зондер слева,neautral
391,телефон на все три недели забирается и в течение дня не выдаётся сколько тетрадей каков их желательный объем¿,neautral
392,в наше время и родители и дети привыкли быть все время на связи может быть лучше выделить час вечером для общения с родителями и друзьямилюбимымикоторые за пределами лагеряведь это важно😉,neautral
393,то есть выдавать телефоны,neautral
394,елена да телефоны чтобы позвонить родителям выдаются,neautral
395,аня спасибо добавили в список чайник и часы,positive
396,телефон забирается на все недели но его можно взять чтобы позвонить родителям в свободное время каждый школьник в обязательном порядке будет посещать минимум учебных курса и факультатив а так же решать множество задач на соревнованиях так что советуем взять хотя бы штук,positive
397,клш разве можно вот так взять и отобрать у человека телефон даже с учётом его периодической выдачи для некоторых телефон это необходимость основной источник получения информации получения образования и общения,neautral
398,дорогие друзья возьмите пожалуйста с собой волейбольные мячи,neautral
399,никита отсутствие телефонов у школьников это внутреннее правило клш с которым все участники соглашаются при подтверждении их участия телефоны никто не отбирает так как само решение о поездке в клш добровольное и человек неспособный прожить без телефона может с правилом не соглашаться и в клш не ехать,negative
400,а самое главное не забудьте взять с собой мозги,neautral
401,клш понял принял,neautral
402,артём а ты едешь,neautral
403,увы не в этот раз,negative
404,артём всегда будем рады твоему приезду😊,neautral
405,елена думаю через год сподоблюсь на юбилей,neautral
406,спойлерните кто поедет зондерами,negative
407,где можно найти формы для заполнения согласия на обработку данных и на получение медпомощи,positive
408,вам уже были отправлены памятка для родителей и комплект документов необходимых для регистрации и поездки в клш если документы до вас не дошли напишите нам на,neautral
409,пишет ну вот моей дочери а также сыну друзей письма так и не пришли хотя при обращении им подтвердили зачисление в основной состав что в этом году с письмамито,negative
410,мы проверили тоже нет писем,negative
411,передайте пожалуйста людмиле что она и её друзья могут узнать информацию по зачислению своих детей написав нам на почту с указанием фио школьника его места обучения и даты рождения,neautral
412,сейчас ответим вам по электронной почте,positive
413,как можно склонять ламзин еретики,positive
414,подскажите пожалуйста что нужно с собой брать,neautral
415,а в москве когда,neautral
416,полина с собой нужно взять бумагу и ручку для решения задач телефоном и справочными материалами пользоваться будет нельзя,neautral
417,алексей в москве собеседование будет так же апреля в ближайшее время мы согласуем все детали и выложим информацию здесь и на сайте,negative
418,клш спасибо,positive
419,клш здравствуйте а больше нет возможности попасть к вам в лагерь,neautral
420,сорри что пишу как родитель сын сдавал экзамен в колмогоровскую сунц апреля с по к вам приехали позднее и к окончанию поэтому часть заданий не успел по времени сделать прошу ответить какие еще варианты собеседования возможны и куда отправить варианты заданий спасибо за оперативный ответ мой тел,neautral
421,даша привет да в этом году конкурсный отбор закончился следи за нашими группой и сайтом чтобы успеть в следующем году,neautral
422,наталья к сожалению в этом году конкурсный отбор окончен собеседование было последним отборочным мероприятием следите за нашими группой и сайтом чтобы не упустить возможность в следующем году,neautral
423,здравствуйте во сколько и где состоится собеседование,negative
424,александра здравствуйте время и место мы ещё уточним,negative
425,комментарий удалён пользователем или руководителем страницы,neautral
426,анастасия если у нас на проверке не лежат присланные тобой вступительные то уже к сожалению ничего,neautral
427,добрый день а если есть приглашение по итогам олимпиады нужно приходить на собеседование,neautral
428,а можно узнать мои вступительные задания дошли хочу убедиться что дошли,positive
429,кирилл дошли,neautral
430,решения принимают до марта включительно,neautral
431,елена нет максимум ждем московского времени,neautral
432,чертклассная форма носа мне бы такой,neautral
433,да конечно здорово,positive
434,больше двух фотографий не прикреплялось поэтому пришлось так,neautral
435,анастасия очень хороший разбор качественный видна кропотливая работа из того над чем ещё можно подумать этика литературовед как и любой исследователь должен быть беспристрастным говорить о том что набоков или ктолибо ещё писал пародии только на поэтесс которые ему не нравились или были слабее это не совсем корректно то что писатель действительно недолюбливал женскую поэзию это правда но опятьтаки не до конца пародия это не только представление человекаявленияпроизведения в ироничном виде но и признание его как минимум популярности или влиятельности а то зачем же пародировать тех кто не знаменит и по общему признанию слишком слаб и если говорить про и одоевцеву то она как раз считалась одной из ярых последовательниц ахматовой так что не на одну ахматову здесь пародия подсказка про бунина была для отсылки на рецензию набокова о бунине хотя конечно не самая явная там есть важная информация для понимания того почему так раздражал запинающийся анапест анна бунина точно родственница иа бунина но про ахматову факт не подтверждён сама поэтесса говорила что анна бунина её родственница но не факт что она не делала этого для создания и укрепления своего жизнетворческого мифа комментарии в основном к о второй части решения к первой придраться не к чему мои поздравления можешь ещё подумать над бунинымочень хороший разбор качественный в,negative
